Author,Shubham Malik
GitHub,https://github.com/subhm2004
Repo,https://github.com/subhm2004/DSA-CP
Tracker,DSA Patterns — progress tracker (Done/Todo auto-mapped from repo)
Generated,2026-08-07

sr,category_no,category,pattern_no,pattern,leetcode_id,problem,status,repo_file,in_30day_core,leetcode_url
40,2,Sliding Window Patterns,9,Variable Size,3,Longest Substring Without Repeating Characters,Done,DSA/sliding_window/longest_substring_without_repeat.cpp,Yes,https://leetcode.com/problems/longest-substring-without-repeating-characters/
41,2,Sliding Window Patterns,9,Variable Size,76,Minimum Window Substring,Done,DSA/sliding_window/minimum_window_substring.cpp,Yes,https://leetcode.com/problems/minimum-window-substring/
42,2,Sliding Window Patterns,9,Variable Size,209,Minimum Size Subarray Sum,Todo,,Yes,https://leetcode.com/problems/minimum-size-subarray-sum/
43,2,Sliding Window Patterns,9,Variable Size,219,Contains Duplicate II,Todo,,No,https://leetcode.com/problems/contains-duplicate-ii/
44,2,Sliding Window Patterns,9,Variable Size,424,Longest Repeating Character Replacement,Done,DSA/sliding_window/longest_repeating_char_replace.cpp,Yes,https://leetcode.com/problems/longest-repeating-character-replacement/
45,2,Sliding Window Patterns,9,Variable Size,713,Subarray Product Less Than K,Todo,,No,https://leetcode.com/problems/subarray-product-less-than-k/
46,2,Sliding Window Patterns,9,Variable Size,904,Fruit Into Baskets,Done,DSA/sliding_window/fruit_into_baskets.cpp,No,https://leetcode.com/problems/fruit-into-baskets/
47,2,Sliding Window Patterns,9,Variable Size,1004,Max Consecutive Ones III,Todo,,No,https://leetcode.com/problems/max-consecutive-ones-iii/
48,2,Sliding Window Patterns,9,Variable Size,1438,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,Todo,,No,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit/
49,2,Sliding Window Patterns,9,Variable Size,1493,Longest Subarray of 1's After Deleting One Element,Todo,,No,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element/
50,2,Sliding Window Patterns,9,Variable Size,1658,Minimum Operations to Reduce X to Zero,Todo,,No,https://leetcode.com/problems/minimum-operations-to-reduce-x-to-zero/
51,2,Sliding Window Patterns,9,Variable Size,1838,Frequency of the Most Frequent Element,Todo,,No,https://leetcode.com/problems/frequency-of-the-most-frequent-element/
52,2,Sliding Window Patterns,9,Variable Size,2461,Maximum Sum of Distinct Subarrays With Length K,Todo,,No,https://leetcode.com/problems/maximum-sum-of-distinct-subarrays-with-length-k/
53,2,Sliding Window Patterns,9,Variable Size,2516,Take K of Each Character From Left and Right,Todo,,No,https://leetcode.com/problems/take-k-of-each-character-from-left-and-right/
54,2,Sliding Window Patterns,9,Variable Size,2762,Continuous Subarrays,Todo,,No,https://leetcode.com/problems/continuous-subarrays/
55,2,Sliding Window Patterns,9,Variable Size,2779,Maximum Beauty of an Array After Applying Operation,Todo,,No,https://leetcode.com/problems/maximum-beauty-of-an-array-after-applying-operation/
56,2,Sliding Window Patterns,9,Variable Size,2981,Find Longest Special Substring That Occurs Thrice I,Todo,,No,https://leetcode.com/problems/find-longest-special-substring-that-occurs-thrice-i/
57,2,Sliding Window Patterns,9,Variable Size,3026,Maximum Good Subarray Sum,Todo,,No,https://leetcode.com/problems/maximum-good-subarray-sum/
58,2,Sliding Window Patterns,9,Variable Size,3346,Maximum Frequency of an Element After Performing Operations I,Todo,,No,https://leetcode.com/problems/maximum-frequency-of-an-element-after-performing-operations-i/
59,2,Sliding Window Patterns,9,Variable Size,3347,Maximum Frequency of an Element After Performing Operations II,Todo,,No,https://leetcode.com/problems/maximum-frequency-of-an-element-after-performing-operations-ii/
60,2,Sliding Window Patterns,10,Monotonic Queue for Max/Min,239,Sliding Window Maximum,Done,CP/monotonic_queue/monotonic_queue.cpp | DSA/queues/deque_implementation.cpp | DSA/queues/sliding_window_maximum.cpp,No,https://leetcode.com/problems/sliding-window-maximum/
61,2,Sliding Window Patterns,10,Monotonic Queue for Max/Min,862,Shortest Subarray with Sum at Least K,Todo,,No,https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k/
62,2,Sliding Window Patterns,10,Monotonic Queue for Max/Min,1696,Jump Game VI,Todo,,No,https://leetcode.com/problems/jump-game-vi/
63,2,Sliding Window Patterns,11,Character Frequency Matching,1,Two Sum,Done,DSA/arrays/two_sum.cpp | DSA/hash_map/two_sum_hashmap.cpp,No,https://leetcode.com/problems/two-sum/
64,2,Sliding Window Patterns,11,Character Frequency Matching,438,Find All Anagrams in a String,Todo,,Yes,https://leetcode.com/problems/find-all-anagrams-in-a-string/
65,2,Sliding Window Patterns,11,Character Frequency Matching,567,Permutation in String,Todo,,No,https://leetcode.com/problems/permutation-in-string/
66,3,Tree Traversal Patterns (DFS & BFS),12,Level Order Traversal,102,Binary Tree Level Order Traversal,Done,DSA/graphs/bfs_traversal.cpp,Yes,https://leetcode.com/problems/binary-tree-level-order-traversal/
67,3,Tree Traversal Patterns (DFS & BFS),12,Level Order Traversal,103,Binary Tree Zigzag Level Order Traversal,Done,DSA/trees/zigzag_level_order.cpp,No,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/
68,3,Tree Traversal Patterns (DFS & BFS),12,Level Order Traversal,199,Binary Tree Right Side View,Done,DSA/trees/left_view_binary_tree.cpp | DSA/trees/right_view_binary_tree.cpp,Yes,https://leetcode.com/problems/binary-tree-right-side-view/
69,3,Tree Traversal Patterns (DFS & BFS),12,Level Order Traversal,515,Find Largest Value in Each Tree Row,Todo,,No,https://leetcode.com/problems/find-largest-value-in-each-tree-row/
70,3,Tree Traversal Patterns (DFS & BFS),12,Level Order Traversal,1161,Maximum Level Sum of a Binary Tree,Todo,,No,https://leetcode.com/problems/maximum-level-sum-of-a-binary-tree/
71,3,Tree Traversal Patterns (DFS & BFS),13,Recursive Preorder Traversal,100,Same Tree,Todo,,No,https://leetcode.com/problems/same-tree/
72,3,Tree Traversal Patterns (DFS & BFS),13,Recursive Preorder Traversal,101,Symmetric Tree,Todo,,No,https://leetcode.com/problems/symmetric-tree/
73,3,Tree Traversal Patterns (DFS & BFS),13,Recursive Preorder Traversal,105,Construct Binary Tree from Preorder and Inorder Traversal,Done,DSA/trees/build_tree_inorder_preorder.cpp,Yes,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/
74,3,Tree Traversal Patterns (DFS & BFS),13,Recursive Preorder Traversal,114,Flatten Binary Tree to Linked List,Todo,,No,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/
75,3,Tree Traversal Patterns (DFS & BFS),13,Recursive Preorder Traversal,226,Invert Binary Tree,Todo,,Yes,https://leetcode.com/problems/invert-binary-tree/
76,3,Tree Traversal Patterns (DFS & BFS),13,Recursive Preorder Traversal,257,Binary Tree Paths,Todo,,No,https://leetcode.com/problems/binary-tree-paths/
77,3,Tree Traversal Patterns (DFS & BFS),13,Recursive Preorder Traversal,988,Smallest String Starting From Leaf,Todo,,No,https://leetcode.com/problems/smallest-string-starting-from-leaf/
78,3,Tree Traversal Patterns (DFS & BFS),14,Recursive Inorder Traversal,94,Binary Tree Inorder Traversal,Done,DSA/trees/morris_traversal_binary_tree.cpp | DSA/trees/morris_traversal_bst.cpp,No,https://leetcode.com/problems/binary-tree-inorder-traversal/
79,3,Tree Traversal Patterns (DFS & BFS),14,Recursive Inorder Traversal,98,Validate Binary Search Tree,Todo,,Yes,https://leetcode.com/problems/validate-binary-search-tree/
80,3,Tree Traversal Patterns (DFS & BFS),14,Recursive Inorder Traversal,173,Binary Search Tree Iterator,Todo,,No,https://leetcode.com/problems/binary-search-tree-iterator/
81,3,Tree Traversal Patterns (DFS & BFS),14,Recursive Inorder Traversal,230,Kth Smallest Element in a BST,Todo,,Yes,https://leetcode.com/problems/kth-smallest-element-in-a-bst/
82,3,Tree Traversal Patterns (DFS & BFS),14,Recursive Inorder Traversal,501,Find Mode in Binary Search Tree,Todo,,No,https://leetcode.com/problems/find-mode-in-binary-search-tree/
83,3,Tree Traversal Patterns (DFS & BFS),14,Recursive Inorder Traversal,530,Minimum Absolute Difference in BST,Todo,,No,https://leetcode.com/problems/minimum-absolute-difference-in-bst/
84,3,Tree Traversal Patterns (DFS & BFS),15,Recursive Postorder Traversal,104,Maximum Depth of Binary Tree,Done,DSA/graphs/dfs_traversal.cpp | DSA/trees/binary_tree_height.cpp,Yes,https://leetcode.com/problems/maximum-depth-of-binary-tree/
85,3,Tree Traversal Patterns (DFS & BFS),15,Recursive Postorder Traversal,110,Balanced Binary Tree,Done,DSA/trees/balanced_binary_tree.cpp,No,https://leetcode.com/problems/balanced-binary-tree/
86,3,Tree Traversal Patterns (DFS & BFS),15,Recursive Postorder Traversal,124,Binary Tree Maximum Path Sum,Todo,,Yes,https://leetcode.com/problems/binary-tree-maximum-path-sum/
87,3,Tree Traversal Patterns (DFS & BFS),15,Recursive Postorder Traversal,145,Binary Tree Postorder Traversal,Todo,,No,https://leetcode.com/problems/binary-tree-postorder-traversal/
88,3,Tree Traversal Patterns (DFS & BFS),15,Recursive Postorder Traversal,337,House Robber III,Todo,,No,https://leetcode.com/problems/house-robber-iii/
89,3,Tree Traversal Patterns (DFS & BFS),15,Recursive Postorder Traversal,366,Find Leaves of Binary Tree,Todo,,No,https://leetcode.com/problems/find-leaves-of-binary-tree/
90,3,Tree Traversal Patterns (DFS & BFS),15,Recursive Postorder Traversal,543,Diameter of Binary Tree,Done,DSA/trees/binary_tree_diameter.cpp,Yes,https://leetcode.com/problems/diameter-of-binary-tree/
91,3,Tree Traversal Patterns (DFS & BFS),15,Recursive Postorder Traversal,863,All Nodes Distance K in Binary Tree,Todo,,No,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree/
92,3,Tree Traversal Patterns (DFS & BFS),15,Recursive Postorder Traversal,1110,Delete Nodes And Return Forest,Todo,,No,https://leetcode.com/problems/delete-nodes-and-return-forest/
93,3,Tree Traversal Patterns (DFS & BFS),15,Recursive Postorder Traversal,2458,Height of Binary Tree After Subtree Removal Queries,Todo,,No,https://leetcode.com/problems/height-of-binary-tree-after-subtree-removal-queries/
94,3,Tree Traversal Patterns (DFS & BFS),16,Lowest Common Ancestor,235,Lowest Common Ancestor of a Binary Search Tree,Done,DSA/bst/lca_in_bst.cpp,Yes,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/
95,3,Tree Traversal Patterns (DFS & BFS),16,Lowest Common Ancestor,236,Lowest Common Ancestor of a Binary Tree,Todo,,Yes,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/
