Author,Shubham Malik
GitHub,https://github.com/subhm2004
Repo,https://github.com/subhm2004/DSA-CP
Tracker,DSA Patterns — progress tracker (Done/Todo auto-mapped from repo)
Generated,2026-08-07

sr,category_no,category,pattern_no,pattern,leetcode_id,problem,status,repo_file,in_30day_core,leetcode_url
153,4,Graph Traversal Patterns (DFS & BFS),25,Union-Find,1101,The Earliest Moment When Everyone Become Friends,Todo,,No,https://leetcode.com/problems/the-earliest-moment-when-everyone-become-friends/
154,4,Graph Traversal Patterns (DFS & BFS),26,Strongly Connected Components (Kosaraju / Tarjan),210,Course Schedule II,Done,DSA/graphs/topological_sort_kahn.cpp,Yes,https://leetcode.com/problems/course-schedule-ii/
155,4,Graph Traversal Patterns (DFS & BFS),26,Strongly Connected Components (Kosaraju / Tarjan),547,Number of Provinces,Done,DSA/graphs/number_of_provinces.cpp,Yes,https://leetcode.com/problems/number-of-provinces/
156,4,Graph Traversal Patterns (DFS & BFS),26,Strongly Connected Components (Kosaraju / Tarjan),1192,Critical Connections in a Network,Todo,,No,https://leetcode.com/problems/critical-connections-in-a-network/
157,4,Graph Traversal Patterns (DFS & BFS),26,Strongly Connected Components (Kosaraju / Tarjan),2127,Maximum Employees to Be Invited to a Meeting,Todo,,No,https://leetcode.com/problems/maximum-employees-to-be-invited-to-a-meeting/
158,4,Graph Traversal Patterns (DFS & BFS),27,Bridges & Articulation Points (Tarjan low-link),1192,Critical Connections in a Network,Todo,,No,https://leetcode.com/problems/critical-connections-in-a-network/
159,4,Graph Traversal Patterns (DFS & BFS),27,Bridges & Articulation Points (Tarjan low-link),2360,Longest Cycle in a Graph,Todo,,No,https://leetcode.com/problems/longest-cycle-in-a-graph/
160,4,Graph Traversal Patterns (DFS & BFS),28,Minimum Spanning Tree (Kruskal / Prim / DSU + heap),1135,Connecting Cities With Minimum Cost,Todo,,No,https://leetcode.com/problems/connecting-cities-with-minimum-cost/
161,4,Graph Traversal Patterns (DFS & BFS),28,Minimum Spanning Tree (Kruskal / Prim / DSU + heap),1584,Min Cost to Connect All Points,Todo,,No,https://leetcode.com/problems/min-cost-to-connect-all-points/
162,4,Graph Traversal Patterns (DFS & BFS),28,Minimum Spanning Tree (Kruskal / Prim / DSU + heap),1168,Optimize Water Distribution in a Village,Todo,,No,https://leetcode.com/problems/optimize-water-distribution-in-a-village/
163,4,Graph Traversal Patterns (DFS & BFS),28,Minimum Spanning Tree (Kruskal / Prim / DSU + heap),1489,Find Critical and Pseudo-Critical Edges in Minimum Spanning Tree,Todo,,No,https://leetcode.com/problems/find-critical-and-pseudocritical-edges-in-minimum-spanning-tree/
164,4,Graph Traversal Patterns (DFS & BFS),29,Bidirectional BFS,127,Word Ladder,Done,DSA/graphs/word_ladder_bfs.cpp,Yes,https://leetcode.com/problems/word-ladder/
165,4,Graph Traversal Patterns (DFS & BFS),29,Bidirectional BFS,126,Word Ladder II,Todo,,No,https://leetcode.com/problems/word-ladder-ii/
166,4,Graph Traversal Patterns (DFS & BFS),29,Bidirectional BFS,815,Bus Routes,Todo,,No,https://leetcode.com/problems/bus-routes/
167,5,Dynamic Programming (DP) Patterns,30,Fibonacci Style,70,Climbing Stairs,Done,DSA/dynamic_programming/climbing_stairs.cpp,Yes,https://leetcode.com/problems/climbing-stairs/
168,5,Dynamic Programming (DP) Patterns,30,Fibonacci Style,91,Decode Ways,Todo,,No,https://leetcode.com/problems/decode-ways/
169,5,Dynamic Programming (DP) Patterns,30,Fibonacci Style,198,House Robber,Done,DSA/dynamic_programming/house_robber.cpp | DSA/recursion/house_robber.cpp,Yes,https://leetcode.com/problems/house-robber/
170,5,Dynamic Programming (DP) Patterns,30,Fibonacci Style,213,House Robber II,Done,DSA/dynamic_programming/house_robber_2.cpp,No,https://leetcode.com/problems/house-robber-ii/
171,5,Dynamic Programming (DP) Patterns,30,Fibonacci Style,337,House Robber III,Todo,,No,https://leetcode.com/problems/house-robber-iii/
172,5,Dynamic Programming (DP) Patterns,30,Fibonacci Style,509,Fibonacci Number,Todo,,No,https://leetcode.com/problems/fibonacci-number/
173,5,Dynamic Programming (DP) Patterns,30,Fibonacci Style,740,Delete and Earn,Todo,,No,https://leetcode.com/problems/delete-and-earn/
174,5,Dynamic Programming (DP) Patterns,30,Fibonacci Style,746,Min Cost Climbing Stairs,Todo,,No,https://leetcode.com/problems/min-cost-climbing-stairs/
175,5,Dynamic Programming (DP) Patterns,31,Kadane's Algorithm for Max/Min Subarray,53,Maximum Subarray,Done,DSA/arrays/kadanes_max_subarray.cpp | DSA/recursion/maximum_sum.cpp,Yes,https://leetcode.com/problems/maximum-subarray/
176,5,Dynamic Programming (DP) Patterns,31,Kadane's Algorithm for Max/Min Subarray,918,Maximum Sum Circular Subarray,Todo,,No,https://leetcode.com/problems/maximum-sum-circular-subarray/
177,5,Dynamic Programming (DP) Patterns,31,Kadane's Algorithm for Max/Min Subarray,2321,Maximum Score Of Spliced Array,Todo,,No,https://leetcode.com/problems/maximum-score-of-spliced-array/
178,5,Dynamic Programming (DP) Patterns,31,Kadane's Algorithm for Max/Min Subarray,1749,Maximum Absolute Sum of Any Subarray,Todo,,No,https://leetcode.com/problems/maximum-absolute-sum-of-any-subarray/
179,5,Dynamic Programming (DP) Patterns,31,Kadane's Algorithm for Max/Min Subarray,152,Maximum Product Subarray,Done,DSA/dynamic_programming/max_product_subarray.cpp,Yes,https://leetcode.com/problems/maximum-product-subarray/
180,5,Dynamic Programming (DP) Patterns,32,Coin Change / Unbounded Knapsack Style,322,Coin Change,Done,DSA/dynamic_programming/coin_change_min_coins.cpp | DSA/recursion/coin_change.cpp | DSA/recursion/cut_rod_max_segments.cpp,Yes,https://leetcode.com/problems/coin-change/
181,5,Dynamic Programming (DP) Patterns,32,Coin Change / Unbounded Knapsack Style,377,Combination Sum IV,Todo,,No,https://leetcode.com/problems/combination-sum-iv/
182,5,Dynamic Programming (DP) Patterns,32,Coin Change / Unbounded Knapsack Style,518,Coin Change II,Done,DSA/dynamic_programming/coin_change_ways.cpp,No,https://leetcode.com/problems/coin-change-ii/
183,5,Dynamic Programming (DP) Patterns,33,0/1 Knapsack & Subset Sum Style,416,Partition Equal Subset Sum,Done,DSA/dynamic_programming/partition_equal_subset.cpp,Yes,https://leetcode.com/problems/partition-equal-subset-sum/
184,5,Dynamic Programming (DP) Patterns,33,0/1 Knapsack & Subset Sum Style,494,Target Sum,Todo,,No,https://leetcode.com/problems/target-sum/
185,5,Dynamic Programming (DP) Patterns,34,Word Break Style,139,Word Break,Todo,,Yes,https://leetcode.com/problems/word-break/
186,5,Dynamic Programming (DP) Patterns,34,Word Break Style,140,Word Break II,Todo,,No,https://leetcode.com/problems/word-break-ii/
187,5,Dynamic Programming (DP) Patterns,35,Longest Common Subsequence - LCS,1143,Longest Common Subsequence,Done,DSA/dynamic_programming/longest_common_subsequence.cpp,Yes,https://leetcode.com/problems/longest-common-subsequence/
188,5,Dynamic Programming (DP) Patterns,35,Longest Common Subsequence - LCS,1092,Shortest Common Supersequence,Todo,,No,https://leetcode.com/problems/shortest-common-supersequence/
189,5,Dynamic Programming (DP) Patterns,35,Longest Common Subsequence - LCS,1312,Minimum Insertion Steps to Make a String Palindrome,Todo,,No,https://leetcode.com/problems/minimum-insertion-steps-to-make-a-string-palindrome/
190,5,Dynamic Programming (DP) Patterns,36,Edit Distance / Levenshtein Distance,72,Edit Distance,Done,DSA/dynamic_programming/edit_distance.cpp,No,https://leetcode.com/problems/edit-distance/
191,5,Dynamic Programming (DP) Patterns,36,Edit Distance / Levenshtein Distance,583,Delete Operation for Two Strings,Todo,,No,https://leetcode.com/problems/delete-operation-for-two-strings/
192,5,Dynamic Programming (DP) Patterns,36,Edit Distance / Levenshtein Distance,712,Minimum ASCII Delete Sum for Two Strings,Todo,,No,https://leetcode.com/problems/minimum-ascii-delete-sum-for-two-strings/
193,5,Dynamic Programming (DP) Patterns,37,Unique Paths on Grid,62,Unique Paths,Done,DSA/dynamic_programming/unique_paths_grid.cpp,Yes,https://leetcode.com/problems/unique-paths/
194,5,Dynamic Programming (DP) Patterns,37,Unique Paths on Grid,63,Unique Paths II,Todo,,No,https://leetcode.com/problems/unique-paths-ii/
195,5,Dynamic Programming (DP) Patterns,37,Unique Paths on Grid,64,Minimum Path Sum,Done,DSA/dynamic_programming/minimum_path_sum_grid.cpp,No,https://leetcode.com/problems/minimum-path-sum/
196,5,Dynamic Programming (DP) Patterns,37,Unique Paths on Grid,120,Triangle,Todo,,No,https://leetcode.com/problems/triangle/
197,5,Dynamic Programming (DP) Patterns,37,Unique Paths on Grid,221,Maximal Square,Todo,,No,https://leetcode.com/problems/maximal-square/
198,5,Dynamic Programming (DP) Patterns,37,Unique Paths on Grid,931,Minimum Falling Path Sum,Todo,,No,https://leetcode.com/problems/minimum-falling-path-sum/
199,5,Dynamic Programming (DP) Patterns,37,Unique Paths on Grid,1277,Count Square Submatrices with All Ones,Todo,,No,https://leetcode.com/problems/count-square-submatrices-with-all-ones/
200,5,Dynamic Programming (DP) Patterns,38,Interval DP,312,Burst Balloons,Todo,,No,https://leetcode.com/problems/burst-balloons/
201,5,Dynamic Programming (DP) Patterns,38,Interval DP,546,Remove Boxes,Todo,,No,https://leetcode.com/problems/remove-boxes/
202,5,Dynamic Programming (DP) Patterns,39,Catalan Numbers,95,Unique Binary Search Trees II,Todo,,No,https://leetcode.com/problems/unique-binary-search-trees-ii/
203,5,Dynamic Programming (DP) Patterns,39,Catalan Numbers,96,Unique Binary Search Trees,Todo,,No,https://leetcode.com/problems/unique-binary-search-trees/
204,5,Dynamic Programming (DP) Patterns,39,Catalan Numbers,241,Different Ways to Add Parentheses,Todo,,No,https://leetcode.com/problems/different-ways-to-add-parentheses/
205,5,Dynamic Programming (DP) Patterns,40,Longest Increasing Subsequence,300,Longest Increasing Subsequence,Done,DSA/dynamic_programming/longest_increasing_subsequence.cpp,Yes,https://leetcode.com/problems/longest-increasing-subsequence/
206,5,Dynamic Programming (DP) Patterns,40,Longest Increasing Subsequence,354,Russian Doll Envelopes,Todo,,No,https://leetcode.com/problems/russian-doll-envelopes/
207,5,Dynamic Programming (DP) Patterns,40,Longest Increasing Subsequence,1671,Minimum Number of Removals to Make Mountain Array,Todo,,No,https://leetcode.com/problems/minimum-number-of-removals-to-make-mountain-array/
208,5,Dynamic Programming (DP) Patterns,40,Longest Increasing Subsequence,2407,Longest Increasing Subsequence II,Todo,,No,https://leetcode.com/problems/longest-increasing-subsequence-ii/
209,5,Dynamic Programming (DP) Patterns,41,Stock problems,121,Best Time to Buy and Sell Stock,Todo,,Yes,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/
210,5,Dynamic Programming (DP) Patterns,41,Stock problems,122,Best Time to Buy and Sell Stock II,Todo,,No,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/
211,5,Dynamic Programming (DP) Patterns,41,Stock problems,123,Best Time to Buy and Sell Stock III,Todo,,No,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/
212,5,Dynamic Programming (DP) Patterns,41,Stock problems,188,Best Time to Buy and Sell Stock IV,Todo,,No,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/
213,5,Dynamic Programming (DP) Patterns,41,Stock problems,309,Best Time to Buy and Sell Stock with Cooldown,Todo,,No,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/
214,6,Heap (Priority Queue) Patterns,42,Top K Elements,215,Kth Largest Element in an Array,Done,DSA/heaps/find_k_greatest_elements.cpp | DSA/heaps/find_k_smallest_elements.cpp,Yes,https://leetcode.com/problems/kth-largest-element-in-an-array/
215,6,Heap (Priority Queue) Patterns,42,Top K Elements,347,Top K Frequent Elements,Done,DSA/hash_map/top_k_frequent_elements.cpp,Yes,https://leetcode.com/problems/top-k-frequent-elements/
216,6,Heap (Priority Queue) Patterns,42,Top K Elements,451,Sort Characters By Frequency,Todo,,No,https://leetcode.com/problems/sort-characters-by-frequency/
217,6,Heap (Priority Queue) Patterns,42,Top K Elements,506,Relative Ranks,Todo,,No,https://leetcode.com/problems/relative-ranks/
218,6,Heap (Priority Queue) Patterns,42,Top K Elements,703,Kth Largest Element in a Stream,Done,DSA/heaps/kth_smallest_using_min_heap.cpp,No,https://leetcode.com/problems/kth-largest-element-in-a-stream/
219,6,Heap (Priority Queue) Patterns,42,Top K Elements,973,K Closest Points to Origin,Todo,,No,https://leetcode.com/problems/k-closest-points-to-origin/
220,6,Heap (Priority Queue) Patterns,42,Top K Elements,1046,Last Stone Weight,Todo,,No,https://leetcode.com/problems/last-stone-weight/
221,6,Heap (Priority Queue) Patterns,42,Top K Elements,2558,Take Gifts From the Richest Pile,Todo,,No,https://leetcode.com/problems/take-gifts-from-the-richest-pile/
222,6,Heap (Priority Queue) Patterns,43,Two Heaps for Median Finding,295,Find Median from Data Stream,Done,DSA/heaps/find_median_from_data_stream.cpp,Yes,https://leetcode.com/problems/find-median-from-data-stream/
223,6,Heap (Priority Queue) Patterns,43,Two Heaps for Median Finding,1825,Finding MK Average,Todo,,No,https://leetcode.com/problems/finding-mk-average/
224,6,Heap (Priority Queue) Patterns,44,K-way Merge,23,Merge k Sorted Lists,Todo,,Yes,https://leetcode.com/problems/merge-k-sorted-lists/
225,6,Heap (Priority Queue) Patterns,44,K-way Merge,373,Find K Pairs with Smallest Sums,Todo,,No,https://leetcode.com/problems/find-k-pairs-with-smallest-sums/
226,6,Heap (Priority Queue) Patterns,44,K-way Merge,378,Kth Smallest Element in a Sorted Matrix,Todo,,No,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/
227,6,Heap (Priority Queue) Patterns,44,K-way Merge,632,Smallest Range Covering Elements from K Lists,Todo,,No,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists/
228,6,Heap (Priority Queue) Patterns,45,Scheduling / Minimum Cost,253,Meeting Rooms II,Done,DSA/intervals/meeting_rooms_ii.cpp,Yes,https://leetcode.com/problems/meeting-rooms-ii/
229,6,Heap (Priority Queue) Patterns,45,Scheduling / Minimum Cost,767,Reorganize String,Todo,,Yes,https://leetcode.com/problems/reorganize-string/
230,6,Heap (Priority Queue) Patterns,45,Scheduling / Minimum Cost,857,Minimum Cost to Hire K Workers,Todo,,No,https://leetcode.com/problems/minimum-cost-to-hire-k-workers/
231,6,Heap (Priority Queue) Patterns,45,Scheduling / Minimum Cost,1642,Furthest Building You Can Reach,Todo,,No,https://leetcode.com/problems/furthest-building-you-can-reach/
232,6,Heap (Priority Queue) Patterns,45,Scheduling / Minimum Cost,1792,Maximum Average Pass Ratio,Todo,,No,https://leetcode.com/problems/maximum-average-pass-ratio/
233,6,Heap (Priority Queue) Patterns,45,Scheduling / Minimum Cost,1834,Single-Threaded CPU,Todo,,No,https://leetcode.com/problems/singlethreaded-cpu/
234,6,Heap (Priority Queue) Patterns,45,Scheduling / Minimum Cost,1942,The Number of the Smallest Unoccupied Chair,Todo,,No,https://leetcode.com/problems/the-number-of-the-smallest-unoccupied-chair/
235,6,Heap (Priority Queue) Patterns,45,Scheduling / Minimum Cost,2402,Meeting Rooms III,Todo,,No,https://leetcode.com/problems/meeting-rooms-iii/
236,7,Backtracking Patterns,46,Subsets (Include/Exclude),17,Letter Combinations of a Phone Number,Done,DSA/backtracking/letter_combinations.cpp | DSA/recursion/phone_keypad_problem.cpp,No,https://leetcode.com/problems/letter-combinations-of-a-phone-number/
237,7,Backtracking Patterns,46,Subsets (Include/Exclude),77,Combinations,Todo,,No,https://leetcode.com/problems/combinations/
238,7,Backtracking Patterns,46,Subsets (Include/Exclude),78,Subsets,Done,DSA/backtracking/subsets.cpp | DSA/recursion/generate_subsequences.cpp | DSA/recursion/generate_subsets.cpp,Yes,https://leetcode.com/problems/subsets/
239,7,Backtracking Patterns,46,Subsets (Include/Exclude),90,Subsets II,Todo,,No,https://leetcode.com/problems/subsets-ii/
240,7,Backtracking Patterns,47,Permutations,31,Next Permutation,Todo,,No,https://leetcode.com/problems/next-permutation/
241,7,Backtracking Patterns,47,Permutations,46,Permutations,Done,DSA/backtracking/permutations.cpp | DSA/recursion/permutations_of_string.cpp,Yes,https://leetcode.com/problems/permutations/
242,7,Backtracking Patterns,47,Permutations,60,Permutation Sequence,Todo,,No,https://leetcode.com/problems/permutation-sequence/
243,7,Backtracking Patterns,48,Combination Sum,39,Combination Sum,Done,DSA/backtracking/combination_sum.cpp,Yes,https://leetcode.com/problems/combination-sum/
244,7,Backtracking Patterns,48,Combination Sum,40,Combination Sum II,Done,DSA/backtracking/combination_sum_ii.cpp,No,https://leetcode.com/problems/combination-sum-ii/
245,7,Backtracking Patterns,49,Parentheses Generation,22,Generate Parentheses,Done,DSA/recursion/generate_parenthesis.cpp,No,https://leetcode.com/problems/generate-parentheses/
246,7,Backtracking Patterns,49,Parentheses Generation,301,Remove Invalid Parentheses,Todo,,No,https://leetcode.com/problems/remove-invalid-parentheses/
247,7,Backtracking Patterns,50,Word Search / Path Finding in Grid,79,Word Search,Done,DSA/trie/word_search.cpp,Yes,https://leetcode.com/problems/word-search/
248,7,Backtracking Patterns,50,Word Search / Path Finding in Grid,212,Word Search II,Todo,,No,https://leetcode.com/problems/word-search-ii/
249,7,Backtracking Patterns,50,Word Search / Path Finding in Grid,2018,Check if Word Can Be Placed In Crossword,Todo,,No,https://leetcode.com/problems/check-if-word-can-be-placed-in-crossword/
250,7,Backtracking Patterns,51,N-Queens / Constraint Satisfaction,37,Sudoku Solver,Done,DSA/backtracking/sudoku_solver.cpp,No,https://leetcode.com/problems/sudoku-solver/
251,7,Backtracking Patterns,51,N-Queens / Constraint Satisfaction,51,N-Queens,Done,DSA/backtracking/n_queens.cpp,Yes,https://leetcode.com/problems/nqueens/
252,7,Backtracking Patterns,52,Palindrome Partitioning,131,Palindrome Partitioning,Done,DSA/backtracking/palindrome_partitioning.cpp,No,https://leetcode.com/problems/palindrome-partitioning/
253,7,Backtracking Patterns,52,Palindrome Partitioning,132,Palindrome Partitioning II,Todo,,No,https://leetcode.com/problems/palindrome-partitioning-ii/
254,7,Backtracking Patterns,52,Palindrome Partitioning,1457,Pseudo-Palindromic Paths in a Binary Tree,Todo,,No,https://leetcode.com/problems/pseudopalindromic-paths-in-a-binary-tree/
255,8,Greedy Patterns,53,Interval Merging/Scheduling,56,Merge Intervals,Done,DSA/intervals/merge_intervals.cpp,Yes,https://leetcode.com/problems/merge-intervals/
256,8,Greedy Patterns,53,Interval Merging/Scheduling,57,Insert Interval,Done,DSA/intervals/insert_interval.cpp,Yes,https://leetcode.com/problems/insert-interval/
257,8,Greedy Patterns,53,Interval Merging/Scheduling,759,Employee Free Time,Todo,,No,https://leetcode.com/problems/employee-free-time/
258,8,Greedy Patterns,53,Interval Merging/Scheduling,986,Interval List Intersections,Todo,,No,https://leetcode.com/problems/interval-list-intersections/
259,8,Greedy Patterns,53,Interval Merging/Scheduling,2406,Divide Intervals Into Minimum Number of Groups,Todo,,No,https://leetcode.com/problems/divide-intervals-into-minimum-number-of-groups/
260,8,Greedy Patterns,54,Jump Game Reachability/Minimization,45,Jump Game II,Done,DSA/greedy/jump_game_2.cpp,No,https://leetcode.com/problems/jump-game-ii/
261,8,Greedy Patterns,54,Jump Game Reachability/Minimization,55,Jump Game,Done,DSA/greedy/jump_game.cpp,Yes,https://leetcode.com/problems/jump-game/
262,8,Greedy Patterns,55,Buy/Sell Stock,121,Best Time to Buy and Sell Stock,Todo,,Yes,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/
263,8,Greedy Patterns,55,Buy/Sell Stock,122,Best Time to Buy and Sell Stock II,Todo,,No,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/
264,8,Greedy Patterns,56,Gas Station Circuit,134,Gas Station,Todo,,No,https://leetcode.com/problems/gas-station/
265,8,Greedy Patterns,56,Gas Station Circuit,2202,Maximize the Topmost Element After K Moves,Todo,,No,https://leetcode.com/problems/maximize-the-topmost-element-after-k-moves/
266,8,Greedy Patterns,57,Task Scheduling,621,Task Scheduler,Todo,,No,https://leetcode.com/problems/task-scheduler/
267,8,Greedy Patterns,57,Task Scheduling,767,Reorganize String,Todo,,Yes,https://leetcode.com/problems/reorganize-string/
268,8,Greedy Patterns,57,Task Scheduling,1054,Distant Barcodes,Todo,,No,https://leetcode.com/problems/distant-barcodes/
269,8,Greedy Patterns,58,Sorting Based,455,Assign Cookies,Done,DSA/greedy/assign_cookies.cpp,No,https://leetcode.com/problems/assign-cookies/
270,8,Greedy Patterns,58,Sorting Based,135,Candy,Todo,,No,https://leetcode.com/problems/candy/
271,8,Greedy Patterns,58,Sorting Based,406,Queue Reconstruction by Height,Todo,,No,https://leetcode.com/problems/queue-reconstruction-by-height/
272,8,Greedy Patterns,58,Sorting Based,1029,Two City Scheduling,Todo,,No,https://leetcode.com/problems/two-city-scheduling/
273,9,Binary Search Patterns,59,On Sorted Array/List,35,Search Insert Position,Todo,,No,https://leetcode.com/problems/search-insert-position/
274,9,Binary Search Patterns,59,On Sorted Array/List,69,Sqrt(x),Done,DSA/binary_search/square_root_binary_search.cpp,No,https://leetcode.com/problems/sqrtx/
275,9,Binary Search Patterns,59,On Sorted Array/List,74,Search a 2D Matrix,Done,DSA/binary_search/search_2d_matrix.cpp,Yes,https://leetcode.com/problems/search-a-2d-matrix/
276,9,Binary Search Patterns,59,On Sorted Array/List,278,First Bad Version,Todo,,No,https://leetcode.com/problems/first-bad-version/
277,9,Binary Search Patterns,59,On Sorted Array/List,374,Guess Number Higher or Lower,Todo,,No,https://leetcode.com/problems/guess-number-higher-or-lower/
278,9,Binary Search Patterns,59,On Sorted Array/List,540,Single Element in a Sorted Array,Done,DSA/binary_search/odd_occurrence_binary_search.cpp | DSA/binary_search/search_nearly_sorted.cpp,No,https://leetcode.com/problems/single-element-in-a-sorted-array/
279,9,Binary Search Patterns,59,On Sorted Array/List,704,Binary Search,Done,DSA/arrays/binary_search.cpp | DSA/binary_search/exponential_search.cpp | DSA/binary_search/unbounded_binary_search.cpp,No,https://leetcode.com/problems/binary-search/
280,9,Binary Search Patterns,59,On Sorted Array/List,1539,Kth Missing Positive Number,Todo,,No,https://leetcode.com/problems/kth-missing-positive-number/
281,9,Binary Search Patterns,60,Find Min/Max in Rotated Sorted Array,33,Search in Rotated Sorted Array,Done,DSA/binary_search/pivot_element.cpp,Yes,https://leetcode.com/problems/search-in-rotated-sorted-array/
282,9,Binary Search Patterns,60,Find Min/Max in Rotated Sorted Array,81,Search in Rotated Sorted Array II,Todo,,No,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/
283,9,Binary Search Patterns,60,Find Min/Max in Rotated Sorted Array,153,Find Minimum in Rotated Sorted Array,Todo,,Yes,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/
284,9,Binary Search Patterns,60,Find Min/Max in Rotated Sorted Array,162,Find Peak Element,Done,DSA/binary_search/peak_element.cpp,No,https://leetcode.com/problems/find-peak-element/
285,9,Binary Search Patterns,60,Find Min/Max in Rotated Sorted Array,852,Peak Index in a Mountain Array,Todo,,No,https://leetcode.com/problems/peak-index-in-a-mountain-array/
286,9,Binary Search Patterns,60,Find Min/Max in Rotated Sorted Array,1095,Find in Mountain Array,Todo,,No,https://leetcode.com/problems/find-in-mountain-array/
287,9,Binary Search Patterns,61,On Answer / Condition Function,410,Split Array Largest Sum,Done,DSA/binary_search/aggressive_cows.cpp | DSA/binary_search/book_allocation.cpp | DSA/binary_search/ekos_spoj.cpp | DSA/binary_search/painter_partition.cpp | DSA/binary_search/pratas_poj.cpp,No,https://leetcode.com/problems/split-array-largest-sum/
288,9,Binary Search Patterns,61,On Answer / Condition Function,774,Minimize Max Distance to Gas Station,Todo,,No,https://leetcode.com/problems/minimize-max-distance-to-gas-station/
289,9,Binary Search Patterns,61,On Answer / Condition Function,875,Koko Eating Bananas,Todo,,Yes,https://leetcode.com/problems/koko-eating-bananas/
290,9,Binary Search Patterns,61,On Answer / Condition Function,1011,Capacity To Ship Packages Within D Days,Todo,,No,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/
291,9,Binary Search Patterns,61,On Answer / Condition Function,1482,Minimum Number of Days to Make m Bouquets,Todo,,No,https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets/
292,9,Binary Search Patterns,61,On Answer / Condition Function,1760,Minimum Limit of Balls in a Bag,Todo,,No,https://leetcode.com/problems/minimum-limit-of-balls-in-a-bag/
293,9,Binary Search Patterns,61,On Answer / Condition Function,2064,Minimized Maximum of Products Distributed to Any Store,Todo,,No,https://leetcode.com/problems/minimized-maximum-of-products-distributed-to-any-store/
294,9,Binary Search Patterns,61,On Answer / Condition Function,2226,Maximum Candies Allocated to K Children,Todo,,No,https://leetcode.com/problems/maximum-candies-allocated-to-k-children/
295,9,Binary Search Patterns,62,Find First/Last Occurrence,34,Find First and Last Position of Element in Sorted Array,Done,DSA/arrays/first_occurrence.cpp | DSA/binary_search/total_occurrences.cpp,No,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/
296,9,Binary Search Patterns,62,Find First/Last Occurrence,658,Find K Closest Elements,Done,DSA/binary_search/k_closest_elements.cpp,No,https://leetcode.com/problems/find-k-closest-elements/
297,9,Binary Search Patterns,63,Median / Kth across Two Sorted Arrays,4,Median of Two Sorted Arrays,Todo,,No,https://leetcode.com/problems/median-of-two-sorted-arrays/
298,9,Binary Search Patterns,63,Median / Kth across Two Sorted Arrays,719,Find K-th Smallest Pair Distance,Todo,,No,https://leetcode.com/problems/find-kth-smallest-pair-distance/
299,9,Binary Search Patterns,63,Median / Kth across Two Sorted Arrays,378,Kth Smallest Element in a Sorted Matrix,Todo,,No,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/
300,10,Stack Patterns,64,Valid Parentheses Matching,20,Valid Parentheses,Done,DSA/stacks/valid_parentheses.cpp,Yes,https://leetcode.com/problems/valid-parentheses/
301,10,Stack Patterns,64,Valid Parentheses Matching,32,Longest Valid Parentheses,Todo,,No,https://leetcode.com/problems/longest-valid-parentheses/
302,10,Stack Patterns,64,Valid Parentheses Matching,921,Minimum Add to Make Parentheses Valid,Todo,,No,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid/
303,10,Stack Patterns,64,Valid Parentheses Matching,1249,Minimum Remove to Make Valid Parentheses,Done,DSA/stacks/minimum_bracket_reversals.cpp,No,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses/
304,10,Stack Patterns,64,Valid Parentheses Matching,1963,Minimum Number of Swaps to Make the String Balanced,Todo,,No,https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-string-balanced/
305,10,Stack Patterns,65,Monotonic Stack,402,Remove K Digits,Todo,,No,https://leetcode.com/problems/remove-k-digits/
306,10,Stack Patterns,65,Monotonic Stack,496,Next Greater Element I,Done,CP/monotonic_stack/monotonic_stack.cpp | DSA/stacks/next_smaller_element.cpp,No,https://leetcode.com/problems/next-greater-element-i/
307,10,Stack Patterns,65,Monotonic Stack,503,Next Greater Element II,Done,DSA/stacks/previous_smaller_element.cpp,No,https://leetcode.com/problems/next-greater-element-ii/
308,10,Stack Patterns,65,Monotonic Stack,739,Daily Temperatures,Todo,,Yes,https://leetcode.com/problems/daily-temperatures/
309,10,Stack Patterns,65,Monotonic Stack,901,Online Stock Span,Done,DSA/stacks/online_stock_span.cpp,No,https://leetcode.com/problems/online-stock-span/
310,10,Stack Patterns,65,Monotonic Stack,907,Sum of Subarray Minimums,Todo,,No,https://leetcode.com/problems/sum-of-subarray-minimums/
311,10,Stack Patterns,65,Monotonic Stack,962,Maximum Width Ramp,Todo,,No,https://leetcode.com/problems/maximum-width-ramp/
